date,open,high,low,close,volume,adj_close
2024-10-03 00:00:00,480.0,513.5,450.0,478.79,33592188,478.79
2024-10-04 00:00:00,474.0,483.0,448.55,452.21,5747591,452.21
2024-10-07 00:00:00,445.35,451.4,402.1,422.43,4813962,422.43
2024-10-08 00:00:00,415.0,438.97,413.01,423.18,1924427,423.18
2024-10-09 00:00:00,423.0,483.52,423.0,459.13,4803522,459.13
2024-10-10 00:00:00,466.8,472.0,448.6,460.74,1292759,460.74
2024-10-11 00:00:00,465.0,495.0,456.55,487.63,4537147,487.63
2024-10-14 00:00:00,479.99,486.0,472.4,478.53,1315307,478.53
2024-10-15 00:00:00,478.53,510.0,475.53,483.7,3122554,483.7
2024-10-16 00:00:00,484.0,487.19,466.74,471.75,933192,471.75
2024-10-17 00:00:00,476.0,477.0,451.5,453.27,597455,453.27
2024-10-18 00:00:00,452.7,468.4,439.0,462.14,817518,462.14
2024-10-21 00:00:00,462.14,467.45,446.15,450.13,413276,450.13
2024-10-22 00:00:00,454.0,455.0,422.0,425.36,516665,425.36
2024-10-23 00:00:00,420.21,438.5,420.21,435.43,522421,435.43
2024-10-24 00:00:00,436.0,439.0,420.15,426.01,265585,426.01
2024-10-25 00:00:00,427.0,436.9,416.07,428.16,810397,428.16
2024-10-28 00:00:00,442.9,449.0,434.0,437.83,451397,437.83
2024-10-29 00:00:00,438.35,458.88,429.0,456.55,544344,456.55
2024-10-30 00:00:00,455.0,483.45,450.15,456.03,1086548,456.03
2024-10-31 00:00:00,458.0,463.6,447.07,451.32,500464,451.32
2024-11-01 00:00:00,455.5,469.8,455.05,467.85,224338,467.85
2024-11-04 00:00:00,466.9,467.0,448.0,450.25,636600,450.25
2024-11-05 00:00:00,450.2,455.0,446.0,447.95,268145,447.95
2024-11-06 00:00:00,455.0,537.5,451.05,537.5,4056581,537.5
2024-11-07 00:00:00,565.45,636.75,556.35,592.85,11280335,592.85
2024-11-08 00:00:00,577.05,636.0,574.05,588.05,5303979,588.05
2024-11-11 00:00:00,586.75,657.3,583.3,625.0,6321924,625.0
2024-11-12 00:00:00,632.0,652.7,605.6,609.9,1494814,609.9
2024-11-13 00:00:00,613.2,644.5,590.0,619.9,1678649,619.9
2024-11-14 00:00:00,638.0,673.0,621.0,652.2,3455186,652.2
2024-11-18 00:00:00,659.4,753.0,640.0,743.95,5502251,743.95
2024-11-19 00:00:00,743.95,798.75,728.1,737.1,4229650,737.1
2024-11-21 00:00:00,732.0,777.95,693.0,762.65,2869650,762.65
2024-11-22 00:00:00,770.25,821.95,770.25,790.5,3675294,790.5
2024-11-25 00:00:00,809.0,819.75,768.05,784.55,1660676,784.55
2024-11-26 00:00:00,789.0,791.0,711.55,742.7,1914620,742.7
2024-11-27 00:00:00,747.0,769.8,744.05,754.9,945429,754.9
2024-11-28 00:00:00,753.45,764.8,730.0,745.6,849534,745.6
2024-11-29 00:00:00,746.75,790.0,733.9,782.25,1604110,782.25
2024-12-02 00:00:00,774.6,836.25,766.0,828.35,2035008,828.35
2024-12-03 00:00:00,831.8,852.8,821.0,830.7,1622534,830.7
2024-12-04 00:00:00,826.8,848.7,806.1,823.95,861389,823.95
2024-12-05 00:00:00,823.5,862.55,816.1,841.4,1959997,841.4
