date,open,high,low,close,volume,adj_close
2024-05-20 00:00:00,3.5365,3.5365,3.4938,3.4938,386400,3.4938
2024-05-21 00:00:00,3.4767,3.5451,3.4511,3.4938,537600,3.4938
2024-05-22 00:00:00,3.4938,3.5023,3.4767,3.4853,403500,3.4853
2024-05-23 00:00:00,3.5194,3.528,3.434,3.4682,774000,3.4682
2024-05-24 00:00:00,3.4853,3.4853,3.4255,3.4255,446800,3.4255
2024-05-28 00:00:00,3.4767,3.5023,3.4511,3.4853,451400,3.4853
2024-05-29 00:00:00,3.4767,3.4938,3.434,3.4511,681900,3.4511
2024-05-30 00:00:00,3.4511,3.4938,3.4511,3.4853,336400,3.4853
2024-05-31 00:00:00,3.4853,3.4938,3.4596,3.4938,254300,3.4938
2024-06-03 00:00:00,3.5023,3.5023,3.4682,3.4938,309100,3.4938
2024-06-04 00:00:00,3.4853,3.4853,3.4425,3.4511,521200,3.4511
2024-06-05 00:00:00,3.4596,3.4767,3.4511,3.4682,335600,3.4682
2024-06-06 00:00:00,3.4596,3.4938,3.4596,3.4938,188800,3.4938
2024-06-07 00:00:00,3.4682,3.4853,3.4596,3.4596,265900,3.4596
2024-06-10 00:00:00,3.4596,3.4596,3.434,3.4596,477900,3.4596
2024-06-11 00:00:00,3.434,3.4425,3.4255,3.434,387400,3.434
2024-06-12 00:00:00,3.4511,3.4767,3.4425,3.4511,283400,3.4511
2024-06-13 00:00:00,3.4769,3.4769,3.4511,3.4597,317700,3.4597
2024-06-14 00:00:00,3.4855,3.4855,3.4511,3.4597,250300,3.4597
2024-06-17 00:00:00,3.4511,3.4683,3.4425,3.4425,214000,3.4425
2024-06-18 00:00:00,3.4425,3.4683,3.4167,3.4253,385400,3.4253
2024-06-20 00:00:00,3.4339,3.4769,3.4253,3.4683,447200,3.4683
2024-06-21 00:00:00,3.4855,3.4855,3.4425,3.4855,350700,3.4855
2024-06-24 00:00:00,3.4941,3.5199,3.4855,3.5027,301600,3.5027
2024-06-25 00:00:00,3.4941,3.5113,3.4769,3.4941,368700,3.4941
2024-06-26 00:00:00,3.4769,3.4941,3.4597,3.4597,201900,3.4597
2024-06-27 00:00:00,3.4597,3.5027,3.4597,3.4941,252800,3.4941
2024-06-28 00:00:00,3.4855,3.5027,3.4683,3.4855,156300,3.4855
2024-07-01 00:00:00,3.4855,3.5027,3.4855,3.4941,170100,3.4941
2024-07-02 00:00:00,3.4683,3.5027,3.4597,3.4769,318100,3.4769
2024-07-03 00:00:00,3.4769,3.5199,3.4769,3.5199,354800,3.5199
2024-07-05 00:00:00,3.5285,3.5285,3.4941,3.5027,293000,3.5027
2024-07-08 00:00:00,3.5113,3.5113,3.4855,3.4941,256100,3.4941
2024-07-09 00:00:00,3.5027,3.5285,3.4941,3.5285,349100,3.5285
2024-07-10 00:00:00,3.5199,3.5544,3.5113,3.5458,315700,3.5458
2024-07-11 00:00:00,3.5544,3.5716,3.5285,3.563,300600,3.563
2024-07-12 00:00:00,3.5544,3.5716,3.5458,3.563,220900,3.563
2024-07-15 00:00:00,3.563,3.5888,3.563,3.5802,357000,3.5802
2024-07-16 00:00:00,3.5802,3.6146,3.5716,3.5974,476500,3.5974
2024-07-17 00:00:00,3.6061,3.6061,3.5627,3.5714,249000,3.5714
2024-07-18 00:00:00,3.5887,3.6061,3.5714,3.5887,446200,3.5887
2024-07-19 00:00:00,3.5714,3.5801,3.5194,3.5714,311700,3.5714
2024-07-22 00:00:00,3.5627,3.5714,3.554,3.554,256500,3.554
2024-07-23 00:00:00,3.5627,3.5714,3.554,3.5714,280400,3.5714
2024-07-24 00:00:00,3.5887,3.6061,3.5801,3.5887,489000,3.5887
2024-07-25 00:00:00,3.5714,3.5714,3.554,3.5627,312200,3.5627
2024-07-26 00:00:00,3.5801,3.5801,3.502,3.5194,528700,3.5194
2024-07-29 00:00:00,3.528,3.5454,3.5194,3.528,293900,3.528
2024-07-30 00:00:00,3.5367,3.5454,3.5107,3.5454,282500,3.5454
2024-07-31 00:00:00,3.5714,3.5714,3.554,3.5714,249400,3.5714
2024-08-01 00:00:00,3.5714,3.5801,3.5194,3.5367,361400,3.5367
2024-08-02 00:00:00,3.528,3.5454,3.4934,3.5367,399000,3.5367
2024-08-05 00:00:00,3.4327,3.476,3.4067,3.4587,802200,3.4587
2024-08-06 00:00:00,3.476,3.502,3.476,3.502,279300,3.502
2024-08-07 00:00:00,3.502,3.502,3.476,3.476,341900,3.476
2024-08-08 00:00:00,3.476,3.528,3.476,3.5194,216900,3.5194
2024-08-09 00:00:00,3.5194,3.554,3.4847,3.502,253700,3.502
2024-08-12 00:00:00,3.502,3.5367,3.502,3.5367,397500,3.5367
2024-08-13 00:00:00,3.5454,3.5714,3.5194,3.5714,436500,3.5714
2024-08-14 00:00:00,3.5627,3.5887,3.476,3.476,313300,3.476
2024-08-15 00:00:00,3.5887,3.5887,3.5627,3.5887,385600,3.5887
2024-08-16 00:00:00,3.6149,3.6236,3.6062,3.6149,441500,3.6149
2024-08-19 00:00:00,3.6062,3.6324,3.6062,3.6149,327100,3.6149
2024-08-20 00:00:00,3.6237,3.6324,3.5975,3.6062,445200,3.6062
2024-08-21 00:00:00,3.6236,3.6236,3.5887,3.6149,231900,3.6149
2024-08-22 00:00:00,3.5975,3.6236,3.5887,3.6236,382600,3.6236
2024-08-23 00:00:00,3.6236,3.6498,3.6062,3.6411,459700,3.6411
2024-08-26 00:00:00,3.6498,3.6848,3.6411,3.676,590000,3.676
2024-08-27 00:00:00,3.6673,3.6848,3.6498,3.6848,270200,3.6848
2024-08-28 00:00:00,3.6498,3.676,3.5975,3.6236,418600,3.6236
2024-08-29 00:00:00,3.6236,3.6673,3.5975,3.6498,399900,3.6498
2024-08-30 00:00:00,3.6498,3.6586,3.6236,3.6324,208100,3.6324
2024-09-03 00:00:00,3.6324,3.6411,3.58,3.5887,358600,3.5887
2024-09-04 00:00:00,3.6236,3.6236,3.5625,3.58,437700,3.58
2024-09-05 00:00:00,3.5887,3.6062,3.5625,3.58,346300,3.58
2024-09-06 00:00:00,3.58,3.5975,3.5625,3.5625,331000,3.5625
2024-09-09 00:00:00,3.5625,3.5713,3.5538,3.5625,218100,3.5625
