date,open,high,low,close,volume,adj_close
2025-08-14,153.5,154.77,145.05,146.07,105274421,146.07
2025-08-18,148.0,151.68,143.95,150.02,39208337,150.02
2025-08-19,150.0,158.2,148.12,156.55,47572618,156.55
2025-08-20,157.0,159.0,153.25,153.83,14505613,153.83
2025-08-21,154.0,156.7,151.77,153.98,10842093,153.98
2025-08-22,153.97,156.75,152.76,153.12,8536051,153.12
2025-08-25,153.89,155.4,152.92,153.48,5125690,153.48
2025-08-26,153.48,156.74,150.05,150.49,7846500,150.49
2025-08-28,150.3,151.55,147.06,148.23,8347289,148.23
2025-08-29,148.4,151.8,147.81,148.43,4448815,148.43
2025-09-01,148.9,152.8,147.97,151.76,6096458,151.76
2025-09-02,152.68,154.8,152.32,153.73,5730595,153.73
2025-09-03,153.7,159.93,153.7,159.17,23333691,159.17
2025-09-04,161.51,162.15,151.52,152.29,10144348,152.29
2025-09-05,152.89,152.99,149.48,150.11,4553483,150.11
2025-09-08,150.49,151.14,148.51,149.21,3545942,149.21
2025-09-09,149.95,149.99,148.21,148.54,2583143,148.54
2025-09-10,149.3,149.94,147.8,148.01,2969890,148.01
2025-09-11,148.0,148.4,145.31,145.69,5640167,145.69
2025-09-12,146.29,149.3,145.9,148.72,3893758,148.72
2025-09-15,151.95,153.45,149.71,150.29,5357153,150.29
2025-09-16,151.45,151.65,148.05,148.71,2740161,148.71
2025-09-17,149.44,152.9,147.33,147.77,4924836,147.77
2025-09-18,148.5,151.85,147.5,151.21,5541105,151.21
2025-09-19,151.74,151.74,149.05,149.27,2531658,149.27
2025-09-22,149.51,151.4,149.02,149.44,3324026,149.44
2025-09-23,149.44,150.09,146.7,147.18,2670876,147.18
2025-09-24,147.18,148.38,146.2,146.44,1987230,146.44
2025-09-25,146.49,147.2,143.25,143.85,2668528,143.85
2025-09-26,143.85,144.0,139.79,141.36,3093693,141.36
2025-09-29,141.0,142.76,140.01,140.27,1774082,140.27
2025-09-30,140.75,141.2,137.45,137.89,2064210,137.89
2025-10-01,137.57,139.2,135.9,138.46,3018045,138.46
2025-10-03,138.8,139.4,137.79,138.86,1601643,138.86
2025-10-06,141.1,142.64,139.51,140.86,3324094,140.86
2025-10-07,140.86,141.17,139.26,139.74,1136102,139.74
2025-10-08,139.74,140.95,137.9,138.26,1764496,138.26
2025-10-09,138.51,139.04,137.12,137.98,1331463,137.98
2025-10-10,137.98,143.4,137.6,140.68,3534213,140.68
2025-10-13,139.5,140.78,139.01,139.33,952194,139.33
2025-10-14,138.9,139.57,134.75,135.21,2227068,135.21
2025-10-15,135.26,138.49,134.86,138.05,1220864,138.05
2025-10-16,138.27,139.25,137.07,137.36,691589,137.36
2025-10-17,137.33,138.23,135.45,136.45,1309845,136.45
2025-10-20,136.2,137.51,134.75,137.02,1803493,137.02
2025-10-21,137.49,139.33,137.49,138.29,508815,138.29
2025-10-23,138.73,138.73,135.26,135.48,1195926,135.48
2025-10-24,135.5,136.86,133.72,135.27,2036993,135.27
2025-10-27,135.8,137.7,135.27,136.59,1802416,136.59
2025-10-28,136.59,136.98,134.58,135.49,834282,135.49
2025-10-29,136.6,137.6,135.37,136.72,1371359,136.72
2025-10-30,136.39,137.29,135.48,135.83,1650216,135.83
2025-10-31,135.95,137.0,135.55,136.44,889077,136.44
2025-11-03,135.99,136.83,135.36,135.63,672356,135.63
2025-11-04,135.5,136.44,134.75,134.98,838205,134.98
2025-11-06,134.8,134.9,128.0,128.4,2485520,128.4
2025-11-07,127.25,128.7,125.07,127.67,2170039,127.67
2025-11-10,131.5,133.0,124.5,125.44,5870300,125.44
2025-11-11,126.5,126.5,122.11,122.54,3418122,122.54
2025-11-12,122.9,123.6,122.0,122.23,2260663,122.23
2025-11-13,122.24,130.26,122.05,128.75,8225693,128.75
2025-11-14,127.14,128.23,125.8,126.38,1600964,126.38
2025-11-17,127.04,129.1,124.75,127.91,2659153,127.91
2025-11-18,128.0,128.09,126.0,126.28,905043,126.28
2025-11-19,126.0,127.95,125.55,127.36,1154582,127.36
2025-11-20,127.4,128.4,125.89,126.15,876478,126.15
2025-11-21,125.1,126.0,123.68,124.4,1757637,124.4
2025-11-24,124.49,124.5,117.9,118.23,5723572,118.23
2025-11-25,118.49,118.92,115.65,116.17,2504198,116.17
2025-11-26,117.4,118.99,115.51,115.93,3148118,115.93
2025-11-27,116.26,118.23,115.95,116.86,3957764,116.86
2025-11-28,118.5,118.5,114.51,114.74,1718435,114.74
2025-12-01,114.8,117.02,113.4,113.62,2013544,113.62
2025-12-02,113.93,113.93,110.33,110.93,4758051,110.93
2025-12-03,111.39,111.51,107.39,108.02,5183702,108.02
2025-12-04,108.0,114.9,106.65,111.48,6618271,111.48
2025-12-05,112.05,113.16,110.52,111.36,3419249,111.36
2025-12-08,112.0,112.0,109.29,110.97,2089314,110.97
2025-12-09,111.0,112.9,109.2,112.29,2640037,112.29
2025-12-10,112.36,116.1,112.25,115.25,9159031,115.25
2025-12-11,115.95,116.56,113.55,116.3,1590723,116.3
2025-12-12,116.5,121.64,116.5,121.24,3381906,121.24
2025-12-15,121.5,123.9,119.37,120.06,2701468,120.06
2025-12-16,120.29,122.69,120.06,121.66,1548562,121.66
2025-12-17,121.99,121.99,118.11,118.44,1224768,118.44
2025-12-18,118.44,118.73,116.6,117.09,906387,117.09
2025-12-19,117.94,118.48,115.23,115.87,1970583,115.87
2025-12-22,117.35,118.99,116.35,118.39,2120526,118.39
2025-12-23,119.25,119.3,117.75,118.67,1437014,118.67
2025-12-24,119.47,119.69,117.51,118.65,1651015,118.65
2025-12-26,119.0,120.4,118.23,118.72,1683234,118.72
2025-12-29,118.71,119.24,117.5,118.56,2663369,118.56
2025-12-30,118.61,122.42,118.01,120.97,5212688,120.97
2025-12-31,121.0,121.05,118.41,118.86,2088661,118.86
2026-01-01,119.35,120.71,118.44,120.23,1229335,120.23
2026-01-02,120.23,123.29,119.5,123.01,1802610,123.01
2026-01-05,123.01,123.01,120.64,121.26,1192235,121.26
2026-01-06,122.0,123.77,120.81,122.65,1560726,122.65
2026-01-07,123.0,124.32,122.06,123.71,1544210,123.71
2026-01-08,123.71,124.01,119.4,119.97,2868362,119.97
2026-01-09,119.95,119.97,117.72,118.43,1888616,118.43
2026-01-12,118.0,121.4,116.75,120.41,1463349,120.41
2026-01-13,120.81,123.2,120.8,122.34,1586893,122.34
2026-01-14,122.2,122.9,121.4,121.67,1074279,121.67
2026-01-15,121.67,121.67,121.67,121.67,0,121.67
2026-01-16,121.65,122.22,120.38,121.73,1408305,121.73
2026-01-19,120.6,122.18,119.9,120.65,1220835,120.65
2026-01-20,120.01,121.3,117.45,118.65,4233292,118.65
2026-01-21,118.65,119.0,114.3,115.4,1878683,115.4
2026-01-22,116.5,119.67,116.5,118.54,4356108,118.54
2026-01-23,119.0,119.49,115.57,116.5,1662237,116.5
2026-01-27,116.5,117.67,112.55,113.04,7811831,113.04
2026-01-28,113.1,114.53,112.3,112.95,1703336,112.95
2026-01-29,113.48,116.9,113.03,116.42,1987967,116.42
2026-01-30,114.75,116.12,113.75,114.2,1172217,114.2
2026-02-02,113.4,114.84,111.1,114.21,1075843,114.21
2026-02-03,116.29,120.0,113.83,114.14,1479049,114.14
2026-02-04,114.79,116.38,113.8,116.14,1210885,116.14
2026-02-05,121.0,127.85,120.4,123.52,45003838,123.52
2026-02-06,123.52,123.52,120.24,121.32,2715970,121.32
2026-02-09,122.6,124.45,120.3,123.44,2900611,123.44
2026-02-10,124.0,124.38,120.9,121.24,1807130,121.24
2026-02-11,122.08,122.5,118.11,118.54,1631809,118.54
2026-02-12,118.54,120.99,116.55,119.65,2114709,119.65
2026-02-13,119.0,120.32,117.13,119.43,1343607,119.43
2026-02-16,119.0,119.4,116.91,119.03,2190388,119.03
2026-02-17,119.1,122.48,119.1,122.23,2017473,122.23
2026-02-18,122.0,124.85,121.74,123.6,2257298,123.6
2026-02-19,123.0,125.45,121.67,123.12,2222383,123.12
2026-02-20,123.13,123.7,121.5,121.93,960388,121.93
