date,open,high,low,close,volume,adj_close
2024-08-12,354.95,379.0,351.8,375.9,838506,375.9
2024-08-13,377.0,377.7,366.0,368.2,258255,368.2
2024-08-14,372.2,372.2,354.5,356.65,233687,356.65
2024-08-16,369.95,373.0,355.45,359.95,870486,359.95
2024-08-19,363.7,364.25,351.4,353.55,324514,353.55
2024-08-20,358.7,358.85,342.15,348.5,462401,348.5
2024-08-21,348.5,360.0,348.05,355.1,552577,355.1
2024-08-22,356.0,369.9,354.9,359.55,458961,359.55
2024-08-23,362.3,364.05,353.25,354.9,228959,354.9
2024-08-26,354.6,359.5,349.7,350.6,130857,350.6
2024-08-27,351.4,363.3,345.55,348.25,425272,348.25
2024-08-28,350.0,355.0,347.5,348.75,230807,348.75
2024-08-29,350.0,355.9,346.0,346.7,355330,346.7
2024-08-30,349.3,350.95,344.5,345.7,108238,345.7
2024-09-02,348.25,348.25,336.95,339.6,345721,339.6
2024-09-03,340.9,340.9,330.95,332.65,244143,332.65
2024-09-04,329.05,338.8,328.55,336.0,154183,336.0
2024-09-05,338.6,341.3,336.05,338.55,112857,338.55
2024-09-06,337.8,340.05,327.15,328.65,120926,328.65
2024-09-09,328.0,330.5,321.5,325.15,342399,325.15
2024-09-10,326.5,343.4,326.45,334.55,164617,334.55
2024-09-11,335.5,338.9,332.4,335.2,102845,335.2
2024-09-12,335.2,338.95,331.9,332.8,168879,332.8
2024-09-13,333.05,338.5,329.0,330.15,112181,330.15
2024-09-16,330.2,334.5,324.0,326.15,111612,326.15
2024-09-17,326.5,328.6,320.0,320.55,298644,320.55
2024-09-18,321.5,322.7,314.05,314.85,143811,314.85
2024-09-19,317.5,324.85,303.0,306.85,337653,306.85
2024-09-20,309.0,312.65,300.05,301.8,197182,301.8
2024-09-23,304.7,305.95,286.05,299.3,347084,299.3
2024-09-24,299.8,304.35,288.35,293.8,994385,293.8
2024-09-25,295.0,298.85,278.2,280.1,531706,280.1
2024-09-26,283.9,295.1,275.4,283.25,496974,283.25
2024-09-27,289.25,289.25,279.85,280.25,196544,280.25
2024-09-30,280.45,294.0,275.4,282.0,859120,282.0
2024-10-01,282.8,288.05,280.5,281.25,179363,281.25
2024-10-03,276.0,279.95,269.25,271.15,239870,271.15
2024-10-04,270.05,272.6,260.25,262.6,256390,262.6
2024-10-07,266.55,267.35,250.25,251.8,310266,251.8
2024-10-08,250.0,259.6,248.3,256.55,176876,256.55
2024-10-09,259.9,267.3,256.0,257.1,195268,257.1
2024-10-10,258.0,267.95,254.15,255.7,280447,255.7
2024-10-11,257.45,260.75,255.0,257.85,156666,257.85
2024-10-14,260.0,265.95,259.25,264.5,119231,264.5
2024-10-15,267.85,274.0,260.25,261.2,144974,261.2
2024-10-16,262.0,265.1,260.5,262.4,83889,262.4
2024-10-17,260.3,264.2,253.0,254.85,89761,254.85
2024-10-18,252.0,256.0,249.5,250.6,111921,250.6
2024-10-21,252.7,254.25,242.3,242.9,127050,242.9
2024-10-22,242.9,245.2,235.15,237.45,190759,237.45
2024-10-23,238.5,243.9,236.05,240.8,104451,240.8
2024-10-24,243.2,244.0,237.0,239.45,61192,239.45
2024-10-25,243.05,243.05,225.6,235.6,135973,235.6
2024-10-28,233.15,242.4,231.05,238.2,116895,238.2
2024-10-29,236.0,245.0,235.85,241.4,85055,241.4
2024-10-30,242.0,261.7,240.25,258.25,166027,258.25
2024-10-31,261.0,266.0,256.95,263.8,169075,263.8
2024-11-01,270.0,274.0,266.0,272.1,91829,272.1
2024-11-04,272.15,274.7,265.0,267.25,119530,267.25
2024-11-05,267.25,274.5,265.35,267.6,88138,267.6
2024-11-06,271.4,279.2,267.95,275.3,100216,275.3
2024-11-07,277.35,277.45,271.15,273.15,73994,273.15
2024-11-08,273.15,273.65,262.2,264.75,66731,264.75
2024-11-11,264.75,269.7,254.0,259.4,62557,259.4
2024-11-12,294.0,309.2,282.1,292.65,3911732,292.65
2024-11-13,293.0,293.05,270.0,272.65,562067,272.65
2024-11-14,274.9,285.0,273.3,281.25,347419,281.25
2024-11-18,278.0,282.7,269.7,274.8,245936,274.8
2024-11-19,273.0,291.45,273.0,280.25,249650,280.25
2024-11-21,279.0,280.2,271.0,274.35,176473,274.35
2024-11-22,275.15,282.9,270.95,280.55,134977,280.55
2024-11-25,289.0,295.0,285.0,289.45,203804,289.45
2024-11-26,289.45,294.25,285.0,286.1,100979,286.1
2024-11-27,287.2,306.0,285.05,298.2,399891,298.2
2024-11-28,302.65,320.0,300.15,314.15,481068,314.15
2024-11-29,319.45,319.5,303.0,304.85,275676,304.85
2024-12-02,307.0,323.4,305.0,318.8,300590,318.8
2024-12-03,317.05,353.5,316.8,339.6,1489759,339.6
2024-12-04,340.55,355.0,332.85,345.0,573303,345.0
2024-12-05,346.95,347.7,335.15,336.8,173306,336.8
2024-12-06,336.7,357.9,329.0,337.1,576581,337.1
2024-12-09,338.45,351.7,336.15,349.8,281301,349.8
2024-12-10,353.0,359.75,341.95,346.5,519968,346.5
2024-12-11,346.5,357.9,341.35,353.95,818362,353.95
2024-12-12,357.95,360.0,350.6,353.75,393190,353.75
2024-12-13,353.95,354.9,341.85,349.4,216817,349.4
2024-12-16,351.8,354.15,345.0,347.4,194558,347.4
2024-12-17,349.4,354.0,338.0,340.05,214461,340.05
2024-12-18,339.0,340.45,323.0,328.35,269888,328.35
2024-12-19,313.05,330.5,313.05,323.2,232211,323.2
2024-12-20,324.9,326.9,313.1,317.35,160327,317.35
2024-12-23,325.0,325.0,311.55,317.85,108098,317.85
2024-12-24,317.0,324.75,313.3,319.0,72601,319.0
2024-12-26,319.5,322.95,315.05,317.65,71344,317.65
2024-12-27,320.25,321.0,315.0,315.85,64206,315.85
2024-12-30,313.0,316.9,305.0,305.8,109656,305.8
2024-12-31,305.75,307.15,301.95,304.95,118534,304.95
2025-01-01,306.0,317.05,304.9,313.4,145501,313.4
2025-01-02,318.1,318.1,309.95,312.35,124848,312.35
