date,open,high,low,close,volume,adj_close
2024-11-27,10.0,10.8,10.0,10.12,294800,10.12
2024-11-29,10.5,10.89,10.4,10.8,50200,10.8
2024-12-02,11.15,11.15,10.13,10.48,121300,10.48
2024-12-03,10.7,10.7,9.51,10.03,114600,10.03
2024-12-04,10.38,10.38,9.73,10.2,99100,10.2
2024-12-05,10.33,10.67,10.0,10.6,42800,10.6
2024-12-06,10.65,10.65,9.84,10.19,64500,10.19
2024-12-09,10.33,10.41,10.1,10.1,22700,10.1
2024-12-10,10.21,10.307,10.15,10.15,18500,10.15
2024-12-11,10.061,10.325,10.0,10.0,64000,10.0
2024-12-12,10.0,10.2,9.8,9.8,76400,9.8
2024-12-13,9.95,10.06,8.95,9.35,66800,9.35
2024-12-16,9.46,9.73,9.36,9.5,24000,9.5
2024-12-17,9.6,9.75,9.11,9.11,30700,9.11
2024-12-18,9.1,9.408,8.75,8.79,19500,8.79
2024-12-19,8.78,10.175,8.779,9.82,127400,9.82
2024-12-20,9.93,9.93,9.01,9.01,13400,9.01
2024-12-23,9.16,9.5,9.13,9.5,27100,9.5
2024-12-24,9.61,9.61,9.08,9.455,18400,9.455
2024-12-26,9.48,9.683,9.374,9.683,4900,9.683
2024-12-27,9.74,9.89,9.5,9.742,7700,9.742
2024-12-30,9.68,9.9,9.27,9.27,19100,9.27
2024-12-31,9.27,9.47,9.0,9.15,17300,9.15
2025-01-02,9.33,9.7,9.2,9.4,17100,9.4
2025-01-03,9.59,10.0,9.41,9.65,28800,9.65
2025-01-06,9.94,10.5,9.76,10.0,37000,10.0
2025-01-07,10.0,10.0,9.5,9.775,67100,9.775
2025-01-08,9.65,9.979,9.57,9.58,24900,9.58
2025-01-10,10.05,10.3,9.66,10.0,87100,10.0
2025-01-13,9.97,9.97,9.6,9.827,26900,9.827
2025-01-14,9.96,9.96,9.0,9.0,61400,9.0
2025-01-15,9.1,9.5,9.1,9.2,22600,9.2
2025-01-16,9.59,9.85,9.11,9.675,50300,9.675
2025-01-17,9.74,9.874,9.35,9.53,34600,9.53
2025-01-21,9.75,10.0,9.547,9.773,23300,9.773
2025-01-22,9.8,10.0,9.5,10.0,47800,10.0
2025-01-23,10.14,10.27,9.897,10.16,73000,10.16
2025-01-24,10.0,10.165,9.85,10.05,54800,10.05
2025-01-27,10.15,10.225,9.8,9.87,11300,9.87
2025-01-28,9.99,9.99,9.5,9.56,35000,9.56
2025-01-29,9.66,9.973,9.56,9.62,27900,9.62
2025-01-30,9.79,10.0,9.65,9.8,5900,9.8
