date,open,high,low,close,volume,adj_close
2024-05-20,2.09,2.215,2.09,2.21,390100,2.21
2024-05-21,2.2,2.2,2.11,2.13,174600,2.13
2024-05-22,2.15,2.15,2.1,2.12,236900,2.12
2024-05-23,2.12,2.123,2.003,2.03,288600,2.03
2024-05-24,2.03,2.06,2.0,2.04,196600,2.04
2024-05-28,2.03,2.07,2.01,2.01,288900,2.01
2024-05-29,1.98,1.98,1.79,1.8,302600,1.8
2024-05-30,1.83,1.83,1.72,1.79,321900,1.79
2024-05-31,1.79,1.82,1.73,1.82,457000,1.82
2024-06-03,1.83,1.85,1.71,1.73,360400,1.73
2024-06-04,1.73,1.75,1.665,1.71,1681200,1.71
2024-06-05,1.72,1.73,1.66,1.73,213900,1.73
2024-06-06,1.71,1.735,1.63,1.65,423400,1.65
2024-06-07,1.63,1.695,1.61,1.66,348900,1.66
2024-06-10,1.66,1.8,1.62,1.7,839400,1.7
2024-06-11,1.7,1.73,1.675,1.73,273300,1.73
2024-06-12,1.75,1.83,1.68,1.77,532600,1.77
2024-06-13,1.78,1.78,1.68,1.74,515400,1.74
2024-06-14,1.71,1.73,1.64,1.67,400200,1.67
2024-06-17,1.66,1.68,1.603,1.65,216300,1.65
2024-06-18,1.65,1.66,1.605,1.61,256600,1.61
2024-06-20,1.61,1.635,1.56,1.58,442900,1.58
2024-06-21,1.57,1.63,1.57,1.615,392400,1.615
2024-06-24,1.61,1.69,1.61,1.69,317500,1.69
2024-06-25,1.69,1.695,1.66,1.68,380100,1.68
2024-06-26,1.68,1.71,1.62,1.66,314300,1.66
2024-06-27,1.66,1.71,1.61,1.66,339400,1.66
2024-06-28,1.68,1.695,1.57,1.62,5877600,1.62
2024-07-01,1.61,1.64,1.565,1.58,499300,1.58
2024-07-02,1.57,1.645,1.559,1.57,361100,1.57
2024-07-03,1.58,1.6,1.55,1.56,151200,1.56
2024-07-05,1.56,1.56,1.48,1.5,386800,1.5
2024-07-08,1.52,1.53,1.49,1.49,244800,1.49
2024-07-09,1.49,1.5,1.45,1.47,188700,1.47
2024-07-10,1.47,1.5,1.465,1.48,302600,1.48
2024-07-11,1.49,1.57,1.49,1.56,273700,1.56
2024-07-12,1.59,1.61,1.555,1.58,174500,1.58
2024-07-15,1.63,1.67,1.59,1.63,280100,1.63
2024-07-16,1.64,1.73,1.61,1.68,349300,1.68
2024-07-17,1.65,1.72,1.6,1.61,244500,1.61
2024-07-18,1.61,1.64,1.54,1.59,382900,1.59
2024-07-19,1.57,1.585,1.515,1.56,166500,1.56
2024-07-22,1.55,1.6,1.514,1.58,132500,1.58
2024-07-23,1.57,1.63,1.55,1.61,126600,1.61
2024-07-24,1.61,1.67,1.61,1.63,255900,1.63
2024-07-25,1.63,1.7,1.63,1.65,198200,1.65
2024-07-26,1.68,1.73,1.65,1.69,389000,1.69
2024-07-29,1.68,1.718,1.64,1.67,121700,1.67
2024-07-30,1.68,1.695,1.66,1.67,185900,1.67
2024-07-31,1.67,1.75,1.65,1.66,174500,1.66
2024-08-01,1.68,1.69,1.58,1.59,259400,1.59
2024-08-02,1.55,1.585,1.48,1.48,318100,1.48
2024-08-05,1.44,1.535,1.425,1.46,215000,1.46
2024-08-06,1.46,1.54,1.46,1.51,209800,1.51
2024-08-07,1.54,1.55,1.45,1.46,127100,1.46
2024-08-08,1.49,1.52,1.46,1.46,131000,1.46
2024-08-09,1.47,1.49,1.42,1.44,84400,1.44
2024-08-12,1.43,1.51,1.4,1.49,247300,1.49
2024-08-13,1.5,1.56,1.48,1.48,226600,1.48
2024-08-14,1.48,1.49,1.43,1.45,99500,1.45
2024-08-15,1.46,1.57,1.46,1.54,952600,1.54
2024-08-16,1.57,1.65,1.57,1.61,286100,1.61
2024-08-19,1.62,1.63,1.55,1.55,112800,1.55
2024-08-20,1.58,1.62,1.58,1.61,150800,1.61
2024-08-21,1.59,1.625,1.55,1.59,117200,1.59
2024-08-22,1.59,1.61,1.52,1.53,74100,1.53
2024-08-23,1.53,1.605,1.53,1.55,146600,1.55
2024-08-26,1.57,1.6,1.55,1.6,362800,1.6
2024-08-27,1.56,1.62,1.56,1.58,1036300,1.58
2024-08-28,1.57,1.6,1.55,1.59,111900,1.59
2024-08-29,1.59,1.66,1.58,1.6,250500,1.6
2024-08-30,1.62,1.63,1.565,1.57,134600,1.57
2024-09-03,1.55,1.605,1.55,1.58,70700,1.58
2024-09-04,1.57,1.63,1.51,1.51,86400,1.51
2024-09-05,1.52,1.57,1.513,1.53,131700,1.53
2024-09-06,1.53,1.56,1.49,1.5,110200,1.5
2024-09-09,1.52,1.58,1.51,1.52,145200,1.52
2024-09-10,1.53,1.53,1.47,1.49,260600,1.49
2024-09-11,1.48,1.53,1.48,1.51,217300,1.51
2024-09-12,1.49,1.54,1.47,1.49,125400,1.49
2024-09-13,1.5,1.56,1.5,1.51,63500,1.51
2024-09-16,1.53,1.54,1.49,1.5,67200,1.5
2024-09-17,1.5,1.53,1.47,1.5,259700,1.5
2024-09-18,1.52,1.575,1.49,1.51,213200,1.51
2024-09-19,1.53,1.56,1.51,1.52,127100,1.52
2024-09-20,1.52,1.55,1.48,1.5,361000,1.5
2024-09-23,1.5,1.505,1.46,1.49,203200,1.49
2024-09-24,1.48,1.53,1.47,1.49,311100,1.49
2024-09-25,1.505,1.53,1.46,1.49,102900,1.49
2024-09-26,1.48,1.51,1.47,1.485,111600,1.485
2024-09-27,1.51,1.54,1.455,1.5,267800,1.5
2024-09-30,1.54,1.55,1.46,1.49,396300,1.49
2024-10-01,1.49,1.52,1.47,1.5,201300,1.5
2024-10-02,1.5,1.505,1.48,1.49,88400,1.49
2024-10-03,1.49,1.51,1.46,1.48,127700,1.48
2024-10-04,1.48,1.53,1.448,1.53,267900,1.53
2024-10-07,1.52,1.53,1.49,1.5,76000,1.5
2024-10-08,1.49,1.51,1.47,1.485,201000,1.485
2024-10-09,1.52,1.52,1.46,1.49,212600,1.49
2024-10-10,1.52,1.52,1.47,1.51,213500,1.51
2024-10-11,1.5,1.515,1.49,1.49,80600,1.49
2024-10-14,1.5,1.51,1.48,1.5,75700,1.5
2024-10-15,1.49,1.53,1.49,1.49,418200,1.49
2024-10-16,1.52,1.63,1.52,1.6,357200,1.6
2024-10-17,1.61,1.62,1.57,1.6,162100,1.6
2024-10-18,1.6,1.6,1.58,1.58,46600,1.58
2024-10-21,1.58,1.62,1.58,1.59,79600,1.59
2024-10-22,1.6,1.755,1.592,1.71,368200,1.71
2024-10-23,1.7,1.82,1.55,1.6,505800,1.6
2024-10-24,1.63,1.71,1.63,1.66,135300,1.66
2024-10-25,1.66,1.68,1.64,1.66,108300,1.66
2024-10-28,1.67,1.69,1.66,1.66,91800,1.66
2024-10-29,1.65,1.68,1.63,1.65,90200,1.65
2024-10-30,1.63,1.66,1.59,1.59,312700,1.59
2024-10-31,1.59,1.64,1.59,1.63,267600,1.63
2024-11-01,1.62,1.64,1.62,1.63,19200,1.63
2024-11-04,1.63,1.655,1.613,1.64,72800,1.64
2024-11-05,1.63,1.66,1.62,1.65,91300,1.65
2024-11-06,1.68,1.684,1.63,1.66,85000,1.66
2024-11-07,1.66,1.79,1.65,1.78,591100,1.78
2024-11-08,1.82,1.82,1.735,1.74,353600,1.74
2024-11-11,1.75,1.798,1.73,1.75,127100,1.75
2024-11-12,1.64,1.709,1.63,1.67,285600,1.67
2024-11-13,1.68,1.7,1.65,1.65,62600,1.65
2024-11-14,1.67,1.685,1.59,1.6,424000,1.6
2024-11-15,1.747,1.747,1.595,1.61,111800,1.61
2024-11-18,1.66,1.66,1.56,1.56,101700,1.56
2024-11-19,1.56,1.6,1.55,1.59,59800,1.59
2024-11-20,1.58,1.59,1.54,1.57,108200,1.57
2024-11-21,1.56,1.65,1.56,1.61,80800,1.61
2024-11-22,1.61,1.63,1.565,1.61,129300,1.61
2024-11-25,1.62,1.68,1.58,1.59,287700,1.59
2024-11-26,1.58,1.627,1.58,1.59,75400,1.59
2024-11-27,1.59,1.64,1.59,1.6,121600,1.6
2024-11-29,1.59,1.67,1.59,1.62,81900,1.62
2024-12-02,1.65,1.69,1.65,1.69,111600,1.69
2024-12-03,1.69,1.69,1.58,1.61,208800,1.61
2024-12-04,1.62,1.68,1.6,1.68,157900,1.68
2024-12-05,1.68,1.68,1.575,1.59,210800,1.59
2024-12-06,1.6,1.64,1.55,1.59,1304200,1.59
2024-12-09,1.59,1.62,1.59,1.59,134800,1.59
2024-12-10,1.59,1.66,1.59,1.6,179900,1.6
2024-12-11,1.61,1.61,1.57,1.57,104200,1.57
2024-12-12,1.58,1.65,1.57,1.58,226200,1.58
2024-12-13,1.57,1.608,1.57,1.58,122100,1.58
2024-12-16,1.61,1.61,1.56,1.56,142600,1.56
2024-12-17,1.55,1.57,1.51,1.52,120300,1.52
2024-12-18,1.5,1.521,1.42,1.49,435600,1.49
2024-12-19,1.49,1.51,1.46,1.5,210700,1.5
2024-12-20,1.51,1.51,1.46,1.5,233700,1.5
2024-12-23,1.51,1.515,1.42,1.51,146100,1.51
2024-12-24,1.5,1.52,1.44,1.47,149800,1.47
2024-12-26,1.49,1.51,1.47,1.51,71500,1.51
2024-12-27,1.51,1.52,1.46,1.5,86200,1.5
2024-12-30,1.51,1.51,1.46,1.49,122000,1.49
2024-12-31,1.51,1.51,1.46,1.51,201700,1.51
2025-01-02,1.53,1.56,1.5,1.53,80900,1.53
2025-01-03,1.53,1.621,1.53,1.55,161800,1.55
2025-01-06,1.59,1.59,1.555,1.57,70800,1.57
2025-01-07,1.57,1.58,1.53,1.54,72800,1.54
2025-01-08,1.53,1.54,1.5,1.51,160600,1.51
2025-01-10,1.5,1.5,1.42,1.46,439000,1.46
2025-01-13,1.45,1.45,1.39,1.39,270700,1.39
2025-01-14,1.4,1.5,1.35,1.35,189600,1.35
2025-01-15,1.36,1.42,1.32,1.39,195900,1.39
2025-01-16,1.4,1.4,1.33,1.37,142900,1.37
2025-01-17,1.4,1.4,1.36,1.37,59200,1.37
2025-01-21,1.36,1.37,1.32,1.35,98200,1.35
2025-01-22,1.35,1.38,1.32,1.32,776800,1.32
2025-01-23,1.33,1.39,1.33,1.39,66300,1.39
2025-01-24,1.38,1.38,1.361,1.37,42200,1.37
2025-01-27,1.36,1.44,1.355,1.43,182200,1.43
2025-01-28,1.44,1.443,1.4,1.41,67600,1.41
2025-01-29,1.42,1.439,1.4,1.43,77900,1.43
2025-01-30,1.44,1.46,1.42,1.44,72500,1.44
2025-01-31,1.45,1.45,1.42,1.42,53400,1.42
2025-02-03,1.42,1.44,1.37,1.44,127800,1.44
2025-02-04,1.44,1.44,1.41,1.44,56700,1.44
2025-02-05,1.44,1.45,1.4,1.44,67600,1.44
2025-02-06,1.45,1.45,1.4,1.43,35300,1.43
2025-02-07,1.44,1.44,1.42,1.44,138400,1.44
2025-02-10,1.44,1.44,1.395,1.43,127900,1.43
2025-02-11,1.41,1.41,1.38,1.4,61600,1.4
2025-02-12,1.4,1.4,1.35,1.36,97600,1.36
2025-02-13,1.37,1.43,1.36,1.42,72200,1.42
2025-02-14,1.43,1.44,1.37,1.39,65000,1.39
2025-02-18,1.38,1.39,1.37,1.37,94400,1.37
2025-02-19,1.36,1.465,1.36,1.44,511900,1.44
2025-02-20,1.44,1.44,1.42,1.42,91500,1.42
2025-02-21,1.41,1.43,1.41,1.41,129800,1.41
2025-02-24,1.44,1.44,1.4,1.43,92400,1.43
2025-02-25,1.45,1.45,1.39,1.43,113900,1.43
2025-02-26,1.41,1.44,1.403,1.43,86700,1.43
2025-02-27,1.42,1.42,1.395,1.41,90700,1.41
2025-02-28,1.4,1.42,1.37,1.37,73200,1.37
2025-03-03,1.36,1.43,1.3,1.32,207300,1.32
2025-03-04,1.32,1.32,1.23,1.29,207700,1.29
2025-03-05,1.32,1.397,1.31,1.37,80600,1.37
2025-03-06,1.35,1.35,1.23,1.23,330600,1.23
2025-03-07,1.26,1.279,1.2,1.23,258400,1.23
2025-03-10,1.26,1.261,1.2,1.22,27000,1.22
2025-03-11,1.21,1.26,1.202,1.25,71800,1.25
