date,open,high,low,close,volume,adj_close
2024-09-17,1.641,1.665,1.53,1.63,35700,1.63
2024-09-18,1.581,1.68,1.55,1.55,70100,1.55
2024-09-19,1.64,1.73,1.56,1.67,171500,1.67
2024-09-20,1.51,1.65,1.51,1.6,677300,1.6
2024-09-23,1.86,1.91,1.61,1.82,1946900,1.82
2024-09-24,1.78,1.8,1.47,1.68,243400,1.68
2024-09-25,1.63,1.64,1.46,1.52,225400,1.52
2024-09-26,1.53,1.539,1.3,1.43,164600,1.43
2024-09-27,1.4,1.5,1.304,1.4,163500,1.4
2024-09-30,1.41,1.44,1.33,1.39,45900,1.39
2024-10-01,1.39,1.39,1.29,1.35,63400,1.35
2024-10-02,1.35,1.38,1.3,1.3,23200,1.3
2024-10-03,1.34,1.396,1.13,1.18,134200,1.18
2024-10-04,1.18,1.25,1.11,1.19,87300,1.19
2024-10-07,1.17,1.179,1.05,1.08,54400,1.08
2024-10-08,1.05,1.08,1.03,1.03,24000,1.03
2024-10-09,1.02,1.07,0.932,0.945,110900,0.945
2024-10-10,0.925,1.0,0.925,0.97,38100,0.97
2024-10-11,0.988,1.01,0.932,1.01,36700,1.01
2024-10-14,1.02,1.08,1.01,1.05,94200,1.05
2024-10-15,1.02,1.05,0.942,1.0,83800,1.0
2024-10-16,1.03,1.25,1.0,1.08,188000,1.08
2024-10-17,1.06,1.17,1.03,1.08,60700,1.08
2024-10-18,1.09,1.36,1.09,1.24,214600,1.24
2024-10-21,1.29,1.32,1.13,1.19,133000,1.19
2024-10-22,1.23,1.4,1.21,1.31,157700,1.31
2024-10-23,1.31,1.39,1.2,1.24,108400,1.24
2024-10-24,1.22,1.27,1.14,1.205,51100,1.205
2024-10-25,1.23,1.253,1.168,1.192,24500,1.192
2024-10-28,1.21,1.21,1.13,1.17,63500,1.17
2024-10-29,1.2,1.27,1.19,1.214,45800,1.214
2024-10-30,1.18,1.27,1.15,1.21,21700,1.21
2024-10-31,1.22,1.25,1.15,1.185,17600,1.185
2024-11-01,1.161,1.21,1.14,1.14,34100,1.14
2024-11-04,1.11,1.12,1.01,1.03,70400,1.03
2024-11-05,1.02,1.2,1.02,1.192,167300,1.192
2024-11-06,1.16,1.32,1.13,1.18,116200,1.18
2024-11-07,1.22,1.306,1.185,1.26,47800,1.26
2024-11-08,1.3,1.39,1.21,1.27,89200,1.27
2024-11-11,1.29,1.446,1.175,1.35,469600,1.35
2024-11-12,1.39,1.409,1.25,1.31,117500,1.31
2024-11-13,1.35,1.36,1.18,1.22,76600,1.22
2024-11-14,1.18,1.19,1.06,1.069,85500,1.069
2024-11-15,1.05,1.13,1.03,1.06,52500,1.06
2024-11-18,1.04,1.07,0.97,0.97,44800,0.97
2024-11-19,0.97,1.05,0.966,0.984,27600,0.984
2024-11-20,1.0,1.025,0.95,0.99,54800,0.99
2024-11-21,1.03,1.03,0.964,0.976,34900,0.976
2024-11-22,0.986,1.009,0.852,0.852,89400,0.852
2024-11-25,0.914,0.914,0.85,0.85,92400,0.85
2024-11-26,0.885,1.0,0.85,0.996,106200,0.996
2024-11-27,0.995,1.07,0.912,0.94,70300,0.94
2024-11-29,0.96,0.999,0.9,0.919,39800,0.919
2024-12-02,0.914,1.276,0.896,1.02,5628000,1.02
2024-12-03,1.24,2.33,1.14,1.46,101714400,1.46
2024-12-04,1.43,1.62,1.31,1.41,2031100,1.41
2024-12-05,1.41,1.73,1.37,1.62,1536800,1.62
2024-12-06,1.65,1.83,1.37,1.44,578400,1.44
2024-12-09,1.4,1.41,1.103,1.18,745100,1.18
2024-12-10,1.16,1.19,1.02,1.1,272800,1.1
2024-12-11,1.2,1.2,1.08,1.08,148600,1.08
2024-12-12,1.08,1.11,1.05,1.07,100700,1.07
2024-12-13,1.07,1.12,1.07,1.11,60600,1.11
2024-12-16,1.07,1.15,1.07,1.1,129700,1.1
2024-12-17,1.12,1.195,1.06,1.11,128800,1.11
2024-12-18,1.11,1.115,1.0,1.0,113400,1.0
2024-12-19,1.11,1.11,0.95,1.06,186700,1.06
2024-12-20,1.09,1.09,0.973,0.978,183900,0.978
2024-12-23,0.963,1.03,0.955,0.98,99500,0.98
2024-12-24,0.96,0.983,0.936,0.94,94800,0.94
2024-12-26,0.94,0.993,0.93,0.96,77000,0.96
2024-12-27,1.02,1.09,0.982,1.04,206500,1.04
2024-12-30,1.16,1.16,1.06,1.12,267500,1.12
2024-12-31,1.11,1.22,1.08,1.15,220100,1.15
2025-01-02,1.23,1.24,1.15,1.19,111500,1.19
2025-01-03,1.22,1.347,1.168,1.3,238400,1.3
2025-01-06,1.5,1.58,1.43,1.54,522600,1.54
2025-01-07,1.57,1.64,1.313,1.36,293600,1.36
2025-01-08,1.4,1.5,1.12,1.18,199100,1.18
2025-01-10,1.22,1.294,1.13,1.15,105800,1.15
2025-01-13,1.19,1.24,1.04,1.1,99200,1.1
2025-01-14,1.08,1.157,1.02,1.06,77000,1.06
2025-01-15,1.09,1.18,1.09,1.15,67000,1.15
2025-01-16,1.13,1.39,1.12,1.32,161700,1.32
2025-01-17,1.3,1.386,1.24,1.27,92300,1.27
2025-01-21,1.27,1.27,1.16,1.22,84500,1.22
2025-01-22,1.23,1.34,1.204,1.32,92400,1.32
2025-01-23,1.3,1.35,1.19,1.27,63500,1.27
2025-01-24,1.28,1.3,1.19,1.25,78800,1.25
2025-01-27,1.27,1.35,1.18,1.27,205400,1.27
2025-01-28,1.2,1.25,1.12,1.225,168400,1.225
2025-01-29,1.24,1.24,1.16,1.2,54300,1.2
2025-01-30,1.21,1.278,1.19,1.26,26500,1.26
2025-01-31,1.26,1.32,1.15,1.201,98200,1.201
2025-02-03,1.16,1.26,1.15,1.224,42700,1.224
2025-02-04,1.19,1.32,1.15,1.26,63200,1.26
2025-02-05,1.28,1.288,1.17,1.26,29800,1.26
2025-02-06,1.2,1.349,1.17,1.19,63000,1.19
2025-02-07,1.17,1.235,1.155,1.18,31700,1.18
2025-02-10,1.19,1.28,1.15,1.2,48700,1.2
2025-02-11,1.192,1.24,1.18,1.19,29100,1.19
2025-02-12,1.18,1.33,1.16,1.23,54000,1.23
2025-02-13,1.25,1.329,1.205,1.28,33700,1.28
2025-02-14,1.28,1.28,1.23,1.25,17400,1.25
2025-02-18,1.22,1.282,1.15,1.18,53300,1.18
2025-02-19,1.2,1.25,1.15,1.2,69900,1.2
2025-02-20,1.23,1.25,1.161,1.2,17000,1.2
2025-02-21,1.2,1.2,1.15,1.17,45100,1.17
2025-02-24,1.17,1.29,1.17,1.25,151800,1.25
2025-02-25,1.18,1.205,1.15,1.19,23200,1.19
